Rank,Layer,Ticker,Company,Listing,Price,Currency,AsOf,Wk52_Low,Wk52_High,Score,Fin_25,Growth_20,Valuation_20,Catalysts_20,Risk_15,Consensus,Avg_Target,Verdict
1,2-Silicon,NVDA,NVIDIA,Nasdaq,195.14,USD,2026-06-30,151.49,236.54,87,24,19,17,17,10,Strong Buy,292,Anchor holding; de-rated into growth re-accel
2,3-Memory,MU,Micron,Nasdaq,1199.52,USD,2026-06-24,385,1213,85,22,20,18,17,8,Strong Buy,1437,Best growth-for-multiple; fwd P/E ~8-9x
3,2-Silicon,AVGO,Broadcom,Nasdaq,375.51,USD,2026-06-30,262.66,495.00,84,23,19,15,17,10,Strong Buy,520,Premier custom-silicon+networking; core
4,1-Fab,TSM,TSMC,NYSE ADR,468.80,USD,2026-06-30,221.18,476.79,83,23,18,17,16,9,Strong Buy,487.56,Lowest-risk way to own whole stack; core
4,3-Memory,000660,SK hynix,KRX (ADR HXSCL),2650000,KRW,2026-06-30,,2987000,83,22,20,16,16,9,Strong Buy,3094448,Purest HBM leader; mind FX/liquidity
6,6-Energy,VST,Vistra,NYSE,160.23,USD,2026-06-30,,,80,20,16,17,17,10,Strong Buy,228,Top energy pick; cheap ~16x + NVDA-linked JV
7,6-Energy,CEG,Constellation,Nasdaq,259.00,USD,2026-06-30,240.51,412.70,79,20,17,16,16,10,Buy,360,Cleanest nuclear-to-AI; off highs; core
8,3-Memory,005930,Samsung,KRX (OTC SSNLF),323000,KRW,2026-06-29,,374500,78,20,17,15,16,10,Buy,420000,Cheapest HBM4 entry; catch-up optionality
9,4-Network,ANET,Arista,NYSE,165.46,USD,2026-06-29,97.14,179.80,77,22,17,13,15,10,Strong Buy,190,Cleanest networking compounder; debt-free
10,6-Energy,PWR,Quanta,NYSE,701.88,USD,2026-06-25,363.01,788.75,75,21,16,13,14,11,Buy,761,Best picks-and-shovels grid buildout
11,4-Network,MRVL,Marvell,Nasdaq,296.80,USD,2026-06-30,61.44,329.88,73,19,18,11,16,9,Buy,176,#2 custom silicon; ran past targets
12,1-Fab,ASML,ASML,Nasdaq,1673.60,EUR,2026-06-30,587.80,1711.40,72,22,15,12,14,9,Strong Buy,2019,Best moat; 62x + lumpy orders; size for vol
12,2-Silicon,AMD,AMD,Nasdaq,579.00,USD,2026-06-30,133.50,582.58,72,18,18,10,17,9,Strong Buy,504,Real share gains; priced for flawless MI450
14,4-Network,RMBS,Rambus,Nasdaq,123.32,USD,2026-06-30,61.16,174.10,71,20,15,13,13,10,Buy,144.57,Quiet memory-interface play; target upside
14,4-Network,LITE,Lumentum,Nasdaq,908.00,USD,2026-06-30,88.37,1085.68,71,18,18,10,17,8,Buy,995,EML duopoly w/ NVDA capital; high-beta
